# cohort	faculty	department	program	course	category	source	pdf_page	course_code	credits
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	薬理学	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	53	P7021	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	衛生公衆衛生学概論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	40	P0930	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	衛生学	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	53	P7001	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	表現運動	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	39	P0960	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	表現運動指導法	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	41	P0958	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	被服学概論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	45	P1106	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	被服構成学基礎	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	45	P1111	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	被服構成学応用	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	45	P1112	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	被服環境学	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	45	P1108	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	製図I	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	42	P1001	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	製図II	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	42	P1002	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	親子関係学	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	45	P1125	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	解剖生理学概論I	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	53	P7016	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	解剖生理学概論II	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	53	P7017	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	解析学A	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	28	P0514	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	解析学B	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	28	P0515	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	解析学基礎	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	28	P0513	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	解析学概論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	28	P0512	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	解析学続論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	28	P0516	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	言語と文化の諸相	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	49	P4046	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	読書と豊かな人間性	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	48	P4042	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	調理学基礎	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	45	P1118	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	調理学応用	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	45	P1119	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	近・現代文学演習I	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	22	P0208	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	近・現代文学演習II	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	22	P0210	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	近・現代文学研究I	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	22	P0207	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	近・現代文学研究II	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	22	P0209	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	造形美学	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	37	P0825	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	運動学概論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	39	P0917	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	道徳教育の理論と指導法	専門科目	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	10	P2007	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	道徳教育の理論と指導法(A)	専門科目	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	10	P2007	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	道徳教育の理論と指導法(B)	専門科目	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	10	P2007	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	重度重複障害児教育論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	52	P5022	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	野外運動	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	39	P0912	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	金属加工の基礎技術	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	42	P1004	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	金属加工概論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	42	P1003	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	鑑賞	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	23	P0227	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	陸上競技	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	39	P0901	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	陸上競技指導法	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	41	P0957	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	障害児のアセスメント	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	51	P5016	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	障害児の生理機能評価法	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	52	P5034	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	障害児教育学演習	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	51	P5025	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	障害児教育総論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	52	P5024	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	障害児生理学演習	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	51	P5029	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	電気の基礎技術	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	42	P1019	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	電気技術	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	42	P1021	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	電気技術概論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	42	P1018	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	電気技術演習	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	42	P1022	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	電磁気学	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	30	P0602	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	電磁気学	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	33	P0602	1
